id,apellido,nombre,id_pais,fecha_nacimiento,fecha_defuncion,biografia,created_at
277,Ramírez,Ariel,2,1925-01-01,2010-01-01,,2025-12-06 03:45:14.417159+00
278,Rautavaara,Eunojuhani,19,1928-01-01,2016-01-01,,2025-12-06 03:45:14.417159+00
279,Ravel,Maurice,20,1875-01-01,1937-01-01,,2025-12-06 03:45:14.417159+00
280,Rebuffi,Marcelo,2,,,,2025-12-06 03:45:14.417159+00
281,Red Hot Chili Peppers,,,,,,2025-12-06 03:45:14.417159+00
282,Redbone,,17,,,,2025-12-06 03:45:14.417159+00
283,Renis,Tony,24,1938-01-01,,,2025-12-06 03:45:14.417159+00
284,Revueltas,Silvestre,26,1899-01-01,1940-01-01,,2025-12-06 03:45:14.417159+00
285,Rimsky-Korsakov,Nikolai,35,1844-01-01,1908-01-01,,2025-12-06 03:45:14.417159+00
286,Ripper,João Guilherme,8,1959-01-01,,,2025-12-06 03:45:14.417159+00
287,Rivas Domínguez,David,16,1980-01-01,,,2025-12-06 03:45:14.417159+00
288,Rodríguez,Arturo,26,,,,2025-12-06 03:45:14.417159+00
289,Rossini,Gioacchino,24,1792-01-01,1868-01-01,,2025-12-06 03:45:14.417159+00
290,Roussel,Albert,20,1869-01-01,1937-01-01,,2025-12-06 03:45:14.417159+00
291,Ruggiero,Daniel,2,1979-01-01,,,2025-12-06 03:45:14.417159+00
292,Rutter,John,22,1945-01-01,,,2025-12-06 03:45:14.417159+00
293,Saint-Säens,Camille,20,1835-01-01,1921-01-01,,2025-12-06 03:45:14.417159+00
294,Salgán,Horacio,2,1916-01-01,2016-01-01,,2025-12-06 03:45:14.417159+00
295,Salieri,Antonio,24,1750-01-01,1825-01-01,,2025-12-06 03:45:14.417159+00
296,Sambuelli,Valentín,2,2003-01-01,,,2025-12-06 03:45:14.417159+00
297,Sammartini,Giovanni Battista,24,1698-01-01,1775-01-01,,2025-12-06 03:45:14.417159+00
298,Sánchez Cassataro,Daniel,2,1963-01-01,,,2025-12-06 03:45:14.417159+00
299,Sánchez Haase,Diego,28,1970-01-01,,,2025-12-06 03:45:14.417159+00
300,Sánchez,Damián,2,1944-01-01,,,2025-12-06 03:45:14.417159+00
301,Santana,Carlos,26,1947-01-01,,,2025-12-06 03:45:14.417159+00
302,Sawalle,Paulina,11,,,,2025-12-06 03:45:14.417159+00
303,Scarpino,Alejandro,2,1904-01-01,1970-01-01,,2025-12-06 03:45:14.417159+00
304,Scheidt,Samuel,1,1587-01-01,1654-01-01,,2025-12-06 03:45:14.417159+00
305,Schubert,Franz,5,1797-01-01,1828-01-01,,2025-12-06 03:45:14.417159+00
306,Schumann,Robert,1,1810-01-01,1856-01-01,,2025-12-06 03:45:14.417159+00
307,Shostakovich,Dimitri,35,1906-01-01,1975-01-01,,2025-12-06 03:45:14.417159+00
308,Sibelius,Jean,19,1865-01-01,1957-01-01,,2025-12-06 03:45:14.417159+00
309,Silva,Cayetano Alberto,39,1868-01-01,1920-01-01,,2025-12-06 03:45:14.417159+00
310,Silvestri,Alan,17,1950-01-01,,,2025-12-06 03:45:14.417159+00
311,Sivak,Gabriel,2,1979-01-01,,,2025-12-06 03:45:14.417159+00
312,Smetana,Bedřich,32,1824-01-01,1884-01-01,,2025-12-06 03:45:14.417159+00
313,Soro,Enrique,11,1884-01-01,1954-01-01,,2025-12-06 03:45:14.417159+00
314,Spinetta,Luis Alberto,2,1950-01-01,2012-01-01,,2025-12-06 03:45:14.417159+00
315,Stamitz,Carl Philipp,24,1745-01-01,1801-01-01,,2025-12-06 03:45:14.417159+00
316,Stampone,Atilio,2,1926-01-01,2022-01-01,,2025-12-06 03:45:14.417159+00
317,Stamponi,Héctor,2,1916-01-01,1997-01-01,,2025-12-06 03:45:14.417159+00
319,Stern,Nano,11,1985-01-01,,,2025-12-06 03:45:14.417159+00
320,Stevie Wonder,,17,1950-01-01,,,2025-12-06 03:45:14.417159+00
321,Stewart,Eric,17,1945-01-01,,,2025-12-06 03:45:14.417159+00
322,Strauss,Johann,5,1804-01-01,1849-01-01,,2025-12-06 03:45:14.417159+00
323,Strauss,Johann Jr.,5,1825-01-01,1899-01-01,,2025-12-06 03:45:14.417159+00
324,Strauss,Richard,1,1864-01-01,1949-01-01,,2025-12-06 03:45:14.417159+00
325,Stravinsky,Igor,35,1882-01-01,1971-01-01,,2025-12-06 03:45:14.417159+00
326,Suk,Josef,32,1874-01-01,1935-01-01,,2025-12-06 03:45:14.417159+00
327,Tapia Salfate,Rodrigo,11,,,,2025-12-06 03:45:14.417159+00
328,Tarrago Ros,Antonio,2,1923-01-01,1978-01-01,,2025-12-06 03:45:14.417159+00
